2026-03-19 03:09:28,562 | INFO | run_simulator | Backend already running.
2026-03-19 03:16:14,341 | INFO | run_simulator | Backend already running.
2026-03-19 03:17:49,213 | INFO | run_simulator | Backend already running.
2026-03-19 03:20:58,264 | INFO | run_simulator | Backend already running.
2026-03-19 03:44:05,356 | INFO | run_simulator | Backend already running.
2026-03-19 03:51:00,154 | INFO | run_simulator | Backend already running.
2026-03-19 04:19:03,529 | INFO | run_simulator | Backend already running.
2026-03-19 04:20:55,040 | INFO | run_simulator | Backend already running.
2026-03-19 05:09:30,688 | INFO | run_simulator | Backend already running.
2026-03-19 05:09:54,595 | INFO | run_simulator | Backend already running.
2026-03-19 05:12:19,615 | INFO | run_simulator | Backend already running.
2026-03-19 05:41:17,227 | INFO | run_simulator | Backend already running.
2026-03-19 05:44:14,605 | INFO | run_simulator | Backend already running.
2026-03-19 05:51:40,294 | INFO | run_simulator | Backend already running.
2026-03-19 05:55:06,537 | INFO | run_simulator | Backend already running.
2026-03-19 05:59:18,221 | INFO | run_simulator | Backend already running.
2026-03-19 06:13:41,547 | INFO | run_simulator | Backend already running.
2026-03-19 06:32:20,797 | INFO | run_simulator | Backend already running.
2026-03-19 07:01:23,055 | INFO | run_simulator | Backend already running.
2026-03-19 07:27:46,129 | INFO | run_simulator | Backend already running.
2026-03-19 07:33:52,760 | INFO | run_simulator | Backend already running.
2026-03-19 21:32:41,187 | INFO | run_simulator | Backend already running.
2026-03-19 22:09:19,442 | INFO | run_simulator | Backend already running.
2026-03-20 00:16:35,580 | INFO | run_simulator | Backend already running.
2026-03-20 00:54:03,077 | INFO | run_simulator | Backend already running.
2026-03-20 01:04:00,117 | INFO | run_simulator | Backend not running. Attempting auto-start.
2026-03-20 01:04:45,739 | INFO | run_simulator | Backend already running.
2026-03-20 01:14:10,792 | INFO | run_simulator | Backend already running.
2026-03-20 01:43:41,275 | INFO | run_simulator | Backend already running.
2026-03-20 03:14:54,067 | INFO | run_simulator | Backend already running.
2026-03-20 03:15:57,692 | INFO | run_simulator | Backend already running.
2026-03-20 03:16:57,922 | INFO | run_simulator | Backend already running.
2026-03-20 03:17:55,993 | INFO | run_simulator | Backend already running.
2026-03-20 03:19:30,347 | INFO | run_simulator | Backend already running.
2026-03-20 03:23:17,098 | INFO | run_simulator | Backend already running.
2026-03-20 03:27:04,198 | INFO | run_simulator | Backend already running.
